data_source,period,coding_system,ami_definition,ami_records
Medicare DE-SynPUF inpatient,2008-2010,ICD-9-CM,Principal diagnosis 410.x,1639
Texas THCIC inpatient,2019 Q1,ICD-10-CM,Principal diagnosis I21.x,13168
