ndc11,GenericName,gpi14,AhfsClassCode
00093550101,BUPROPION HCL TAB SR 12HR 100 MG,58300040107420,28160492
00185041005,BUPROPION HCL TAB SR 12HR 100 MG,58300040107420,28160400
